Designator,Footprint,Quantity,Value,LCSC Part #
"C1",0402,1,1uF,C52923
"C9, C10",0402,1,20pF,C1554
"C5,C6,C11,C12,C13,C14,C15"0402,1,100nF,C1525
"C2",0603,1,4.7uF,C19666
"C3,C4,C8", 0603,1,1uF,C15849
"C7",0603,1,10uF,C19702
"F1",1206,1,500mA,C70076
"J1",Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C528030
"J2",JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,1,USB,
"J4",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
"J5",Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical,1,Molex_Pico-EZmate_78171-0003_1x03-1MP_P1.20mm_Vertical,C528029
"R1,R2,R3,R4", 0402,1,10k,C25744
"U1",SOT-23,1,XC6206P332MR,C5446
"U2",QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F401CBUx,C118825
"U3",SOT-23-6,1,USBLC6-2SC6,C2827654
"U4",SOIC-8_3.9x4.9mm_P1.27mm,1,M24C64-RMN6TP,C79988
"Y1",Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz Cl 20pF,C115962
